text,label_text,language,source,label
بسیار هم سکسی است 🤝 ❤️ 😂,sensitive,fa,phicad,1
ننگ بهت که هیچی نمیگی سلبریتیهای خود فروخته مهسا امینی,hateful,fa,phicad,2
All I wants is to represent da life o da colored man.,safe,en,hate_speech_offensive,0
ترر نزنی,hateful,fa,phicad,2
RT @LaneBelgarde: @gillis_seth yeah right queer. The only piece of ass you've ever got is when it finger broke thru the toilet paper&#128514;,sensitive,en,hate_speech_offensive,1
"Hello American people, my name is Eric Cantor and I am a lying piece of bird poo http://t.co/qJyuw4ox0O",safe,en,hate_speech_offensive,0
"fuck ray rice ,someone crack that bitch",hateful,en,hate_speech_offensive,2
ابجیته گلم ک سیبیل کشیده دستاش و سینه هاشوببینید,sensitive,fa,phicad,1
That was a solid investment of 15 mins. Cue up Frank. Yankees. Wow.,safe,en,hate_speech_offensive,0
"@leighvl Niggas probably be watching me like ""Look at this Uncle Tom ass Rasta""",hateful,en,hate_speech_offensive,2
منطق اغتشاشگران در دو جمله,hateful,fa,phicad,2
RT @ShelleT1986: Great start the morning! My daughter danced herself into the coffee table and gave herself a nice shiner... Yea she's a wh&#8230;,safe,en,hate_speech_offensive,0
@USER حالا اگه ایران بود جنده های توییتر میرفتن یکی یه کس بهش میدادن بعد میومدن اینجا روایت تجاوز مینوشتن. دقت کن میرفتن(یعنی با پای خودشون),sensitive,fa,pars_off,1
خاک توسرش پیش چ حروم زاده و 💩 💩 رفته,hateful,fa,phicad,2
ما اعتراض داریم کلا نریزید خجالت داره والله,hateful,fa,phicad,2
"باید پرونده ی مصی صیغه نژاد و حامد سد اسمالو ببندیم و دیگه بهشون نپردازیم برای همیشه
#جاویدشاه",sensitive,fa,phate,1
تنها اپراتوری که واقعا خوب بود امیدوارم ور شکسته نشه جاش ایرانسل جیره خور ورشکسته شه,hateful,fa,phicad,2
@USER در اون حد فهمیدم. توی اتفاق لجن رو نفهمیدم یعنی چی. درون اتفاق لجن؟ تو ای اتفاق لجن؟,sensitive,fa,pars_off,1
در گلستان,safe,fa,phicad,0
💩 💩 🖕 🖕 🍆 🍆,hateful,fa,phicad,2
چقد زشت هست این,hateful,fa,phicad,2
صبحت بخیر یاس,safe,fa,phicad,0
خستگی ناپزیری ❤️,safe,fa,phicad,0
دیروز طرفای غروب اینجا بودم، با اینکه دو طرف خیابون پلیس بود و اونور چارراه یه ایستگاه پلیس باز ولی نگاه رهگذرهای اینجا یه فاز تخم به گلو چسبیده‌ای میداد به آدمی، اوج ماجرا هم یه لحظه بود که مشغول تفحص و تعمق بودم و یه بزرگواری همینجوری کشید پایین و شاشید به گوشه دیواری :دی :/ @URL,sensitive,fa,pars_off,1
خیلی زشت شده مثل قورباغه کرده خودشو ,hateful,fa,phicad,2
@BeyondTomcat you'd like that wouldn't you fag,hateful,en,hate_speech_offensive,2
"شهیار جان قنبری، بزرگ ترانه، میدونم اگه این توییت رو ببینی از ریدن به من کمترین هم دریغ نمیکنی.
وجود ما آدمهای بی هنر و بی سواد رو بهمون ببخش.بیش از این نمی تونم پست های سرتاسر خودبزرگ بینی تو تحمل کنم، ترجیح میدم من بعد مستقیما با هنرت روبرو باشم تا با خودت، پس آنفالوت میکنم.",sensitive,fa,phate,1
پیج اصلیش؟,safe,fa,phicad,0
Johnny Rebel - If I could be a nigger for a day: http://t.co/JPKdkpbjxh,hateful,en,hate_speech_offensive,2
@_Nadiaxo fags,hateful,en,hate_speech_offensive,2
اهنگاش عالی اما قیافش زشته,hateful,fa,phicad,2
من عاشق بازی شما هستم واقعا در نقش طنز عالی هستین هر سه سری زیر اسمان شهر دانلود کردم نگاه میکنم 👏 👏,safe,fa,phicad,0
RT @UniquelyTierra_: &#8220;@vintage_monroe_: &#8220;@dewayneee_: That pussy so wet she gotta dry outside&#8221;stop telling my business&#8221;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,sensitive,en,hate_speech_offensive,1
سکسچت 🔥,sensitive,fa,phicad,1
ما عم همینطور الناز خوشگل 🙂 🥺 ♥️,safe,fa,phicad,0
"ازت متنفرم که با ذوق میای میگی (ا زندانیا رو قتل عام کردن؟)
با اینکه دیشب گریه های منو دیدی
ازت متنفرم
امیدوارم بمیری زنیکه کصکش
#مهسا_امینی
#EvinPrison",sensitive,fa,phate,1
انشاالله هر جای این زمین زیبا هستین سلامت و سلامت و شاد کام باشید بانوی هنرمند خوش ذوق ایران بزرگ ما امین خدایا 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳 🎈 🌳,safe,fa,phicad,0
Sh*t!!!! RT @DipOnline If K Michelle was apart of Baltimore twitter she'd be one of them hoes saying she's celibate smh,sensitive,en,hate_speech_offensive,1
ننگ بر شما هنربندان,hateful,fa,phicad,2
"چرا بچه های داریوش ارجمند بابای عنشون رو ‌خفه نمیکنند؟؟
بمیری بیایم سر قبرت هورا بکشیم
#مهسا_امینی 
#Oplran",sensitive,fa,phate,1
This is true... RT @Mr_QuenchYaGirl: Charlie Clips the coldest battle rapper doing it. No debating!!!,safe,en,hate_speech_offensive,0
باید فالوئر زیاد داشته باشیم؟ فرناز فصیحی و نگار مرتضوی فحش‌های ما رو نمیبینن؟ به هرحال تف به شرفشون.,sensitive,fa,phate,1
"نگویید تیم ملی
این تیم، ملی نیست و هیچ ارتباطی به ملت ندارد، نه خودش، نه پرچمش و نه سرودش
بگویید تیم فوتبال جمهوری اسلامی

#مهسا_امینی",sensitive,fa,phate,1
بلاکی الاغ,hateful,fa,phicad,2
کی میخواد ابجیم بماله؟ 🔥,sensitive,fa,phicad,1
حق داریم انتقاد کنیم ؟؟ تو سگ کی باشی که بما بگی میتونیم چی کار کنیم ؟؟ کیرم تو دهن خودتو شوهرتو زن و زار خودتو شوهرت. حرومزاده https://t.co/LQ7K6SsNxd,sensitive,fa,phate,1
بده ستون,sensitive,fa,phicad,1
"کامران نجف زاده حرومزاده ایرانه گول سایبری های کسکش رو نخورید.
کامران نجف زاده حرومزاده ایرانه گول سایبری های کسکش رو نخورید.
کامران نجف زاده حرومزاده ایرانه گول سایبری های کسکش رو نخورید.
کامران نجف زاده حرومزاده ایرانه گول سایبری های کسکش رو نخورید.
این هزار بار",sensitive,fa,phate,1
سلام داداش خوبی,safe,fa,phicad,0
@USER نه عزیزم  هرجا بری به سن قسم نامردن و میخوان بکننت    پس بزار برادرت بکندت اما  غریبه نه      چون تو با غریبه ها    کم کم کم   میشی مثل   روسپی  (   جنده   )  ناراحت نشو  اما    به هرچی می پرستی قسم میخورم عین واقعیته,hateful,fa,pars_off,2
"Dress like a hoe, I'm goin at you like a hoe just like any other nite. Forget Halloween.",sensitive,en,hate_speech_offensive,1
RFT Tweet of the day&#128588;&#128588; &#8220;@HereForEB: If a nigga change on you.. Fuck em .. He was a bitch nigga from day 1&#8221;,sensitive,en,hate_speech_offensive,1
گه خورشی؟,hateful,fa,phicad,2
"#YesWeDid .......start building #windturbines SO FUCKIN"" BIG they can kill a whole flock of birds in one go&gt;",sensitive,en,hate_speech_offensive,1
مزدور بی وطن,hateful,fa,phicad,2
"این همه گفتم اعتراض رو از معلم نبرید گلسار همه کصشر تحویلم دادن
تو گلسار گل تحویل مامور سرکوبگر دادن
تو معلم بچه های محله های اطراف ننه مامورا رو گاییدن...
#رشت
#مهسا_امینی",sensitive,fa,phate,1
کسکشا شما خودتون با خودتون کنار نمیاید هرروز اینجا جنگ ترک و کرد و لر و عرب و بلوچ داریم بعد توییت  ضد نژادپرستی میزنید ریدم توو سلولهای مغزتون,sensitive,fa,phate,1
Looking back I liked colored better. Let's go back to that,safe,en,hate_speech_offensive,0
"too many bitches, not enough adults.",sensitive,en,hate_speech_offensive,1
چقد اشغالی تو,hateful,fa,phicad,2
How you fucc for cash but u not a hoe ???? And how I'm going to respect u if your poccets broke ??????,sensitive,en,hate_speech_offensive,1
ماه تریین 😍,safe,fa,phicad,0
"Saw brownies on the kitchen counter, bit into one and immediately a surge of pain and spice hit my tongue. Chili flakes. Eff you, Brian.",safe,en,hate_speech_offensive,0
ووی قلبم🥹 ♥️ ♥️ ♥️ ♥️,safe,fa,phicad,0
چربی خالس,hateful,fa,phicad,2
پیری اقا تنابنده 👌 👌,safe,fa,phicad,0
@sportswatch time to dump another diet coke in the trash,safe,en,hate_speech_offensive,0
گندست 😮,sensitive,fa,phicad,1
 میلیون فحش خوردی خبر نداری اشغال,hateful,fa,phicad,2
بازی من را ببین در افتاب پرست ,hateful,fa,phicad,2
RT @JHazeThaGod: You other niggas a call up a bitch to fight a bitch naw not me I'm whomp that trick so she can feel where I'm coming from,hateful,en,hate_speech_offensive,2
"به عنوان یه استقلالی به تمام بازیکن‌های باشرف پرسپولیس که کم هم نیستن ادای احترام می‌کنم و البته #مهدی_ترابی خا...مال رو هم می‌سپرم به خودتون که درس حسابی بهش بدید🙏🏻
#مهسا_امینی
#اعتصابات_سراسری",sensitive,fa,phate,1
درود بر معی الدین سعیدی نماینده چابهار,safe,fa,phicad,0
"ایشون دستور صادر شده در بورس را به نحو احسن انجام دادند وحالا کل وزارت خونه رو میخواد اباد کنه 
لعنت بر بانیان حاکم شدن روحانی برملت ایران #رفسنجانی #خاتمی #زیباکلام #تاجزاده #کواکبیان #عبدی",sensitive,fa,phate,1
اللهم عجل لولیک الفرجلعنت خدا بر دشمنان اسلام,hateful,fa,phicad,2
@HalieMaranda @Huntermoore bitch u perfect,sensitive,en,hate_speech_offensive,1
"""on my way to fuck your bitch in the name of The Lord"" - Mr. Race",hateful,en,hate_speech_offensive,2
"Call when you grow up. If you live that long. Sorry for parents with such poor skills they got you .@Fuck_slums: @veritaz old bitch""",sensitive,en,hate_speech_offensive,1
افرین رامبد جواننارنگی دوست داری,safe,fa,phicad,0
داغون میکنه رپ فارسی رو 😍,safe,fa,phicad,0
Graham crackers and hazelnut coffee are my fave &#128152;&#9786;&#65039;,safe,en,hate_speech_offensive,0
بهترین بازیگر وکارگردان طنز ایران,safe,fa,phicad,0
"چندر غاز پس اندازی
۱۵ میلیون تومان وام
۷ میلیون تومان قرض
= کونش را گنده تر کرده
#در_همین_نزدیکی

فقط یک جمعیت نیمه هوشیار و کودن می تونند به این درجه از مصرف گرایی برسند و در یک فاضلاب تجاری غلت بزنند",sensitive,fa,phate,1
"میگه «آتیشت تنده»
به کیرم که تنده. جهان باید بفهمه این ابرقدرت‌های کسکش چه بلایی سر ما آوردن و حرفی نمیزنن چون به نفعشون نیست، و اینکه این همه تخم و ترکه و نوچه‌ی ج.ا تونستن این همه جا ریشه بزنن از سرویسیه که ج.ا بهشون میده.
دنیا صدای ما رو از همین فیلترها میشنوه
#مهسا_امینی",hateful,fa,phate,2
پشکل خان,hateful,fa,phicad,2
RT @sepinwall: Day 2 of FXX&#8217;s Simpsons marathon &#8212; &#8220;Bart&#8217;s Dog Gets an F&#8221; to &#8220;Last Exit to Springfield&#8221; &#8212;&#160;will be the best consecutive 24 ho&#8230;,safe,en,hate_speech_offensive,0
ببین بی غیرتا چطور واستادن,hateful,fa,phicad,2
RT @USER: موی کوتاه واقعا قشنگه اما دیگه خسته شدم، بلند شو دیگه کسکش.,sensitive,fa,pars_off,1
👊🏼 👊🏼 👊🏼,hateful,fa,phicad,2
RT @Lexxinnn: Don't no nigga want no broke ass bitch &#8252;&#65039; but it's crazy how a bitch will do all she can to better a broke ass nigga &#128056;&#9749;&#65039;,sensitive,en,hate_speech_offensive,1
@USER کاش انقدر گه نخوری. ریدم سر در اون دانشگاهی که به تو مدرک داده. مرتیکه سنده.,hateful,fa,pars_off,2
فکر کردم #نگار_مرتضوی ه... میخواستم بد و بیراه بگم، خوب شد کظم غیظ کردم 😂 https://t.co/9WpqLt97a8,sensitive,fa,phate,1
مادر تنها عزیزی که بی دلیل دوستت داره 😔 💔,safe,fa,phicad,0
بابا کمی خجالت بکش این چه پستیه اخه,hateful,fa,phicad,2
Only faggot pussies put their twitter pic of them and their dog,sensitive,en,hate_speech_offensive,1
@DarienDaywalt bitch shut the fuck up goddam your a slut bitch whore nigga,hateful,en,hate_speech_offensive,2
"بنده ازین نگار مرتضوی هم خوشم نمی‌آید.
نه ببخشید، بدم می‌آید.
زنیکه.",sensitive,fa,phate,1
چقد چندش اوری تو,hateful,fa,phicad,2
😂 😂 چشم,hateful,fa,phicad,2
"همین دیروز علیرضا دبیر مصاحبه کرده و گفته: من نوکر نظامم.
آخ که کی نوبت ورزشکارای مدال‌آور خایه‌مالی مثل تو برسه. دونه دونه‌تون دنبال سوراخ موش باید بگردید.
#MahsaAmin 
#مهسا_امینی",sensitive,fa,phate,1
"نگار مرتضوی، چقدر من از تو لجن بدم میاد، چقدر من از توئه ناکس بی‌شرف کثافت بدم میاد.
چقدر از پدر و مادری که تو جاکش رو طوری تربیت کردن که جای شغل باشرافت تصمیم گرفتی نون تو خون مردم بزنی، بدم میاد.
بیاد اون روی که خفت و خواری‌تو ببینیم.
#مهسا_امینی",sensitive,fa,phate,1
پسری که روز تعطیل میخواد بره سرکار سگ نظام سرمایه‌داریه,sensitive,fa,phate,1
سلام خدمت هوادارن عزیزمون  از همون اول هدف ما خوشحالی دل شما بود و خواهد بود،از هیچ تلاشی دریغ نکردیم  یاد گرفتیم بجای بهانه اوردن،حسودی کردن،جا زدن و تسلیم شدن فقط فقط بجنگیم،تلاش کنیم و تا حد مرگ برای تیممون زحمت بکشیم  ما قدردان تک تک شماعزیزان هستیم و ممنون که مارا حمایت کردین,safe,fa,pars_off,0
@xZimpx @Prophzilla This is Twitter. Not only are you a fag but you're also retarded.,hateful,en,hate_speech_offensive,2
نه بابا 😑,hateful,fa,phicad,2
red meat trash,safe,en,hate_speech_offensive,0
RT @BreadTruckkBri: Denzy a hoe &#128514;&#128514;&#128514;,sensitive,en,hate_speech_offensive,1
از م کلاهبرداری شد توی دیوار 😢,hateful,fa,phicad,2
My managers a stupid cunt yes I said it,hateful,en,hate_speech_offensive,2
مردک نادان جناب یامین پور فرمودن اروپا در حال فروپاشییت !!!!😐یعنی ما چیکار کردیم که این احمق ها باید تو ایران دنبا میومدن !هیچ کسم نیست یدونه بزنه تو دهن این نادان بگه بچسب به کشور خودت احمق اروپا سرجاش هست و خواهد ماند .کی بشه تاوان این حماقت هارو بدین خدا میدونه ،,sensitive,fa,phate,1
حرفاشو خودشم قبول نداره,hateful,fa,phicad,2
My mom's a fucking cunt dude.,sensitive,en,hate_speech_offensive,1
تخمی ترین قسمت زندگی اونجاست که نه تخم داری حرکتی کنی نه تخم داری بی حرکت بمونی,sensitive,fa,pars_off,1
کرد خستگی نمیشناسه فقط میجنگه 👍 💙 💙 🙏 🙏,safe,fa,phicad,0
Can't take u coons nowhere &amp; I mean nowhere,hateful,en,hate_speech_offensive,2
Lmao! You niggas regionally picky about hoes now. Just say anything on Twitter. Makes it's fun tho,hateful,en,hate_speech_offensive,2
"#AZmonsoon lot of rain, too bad it wasn't enough to wash away the teabagger racist white trash in the state. #Tcot #teaparty #azflooding",hateful,en,hate_speech_offensive,2
"قدت زیر ۱۸۰ هستش؟
میتونی بری بمیری",safe,fa,phate,0
ماشاالله به غیرتت قهرمان ❤️ 👏 🇮🇷,safe,fa,phicad,0
قبلنا یه زنه منشی پمپ بنزین هم اینجا به اسم ندا حامی بود که هی میومد و ناله میکرد که وقتی از سر کار برمیگرده تازه باید بشینه مشق و تکلیفهای بچه‌ش رو بنویسه. راستی اون کودن چی شد!؟ خیلی وقته دیگه خبری ازش نیست.,sensitive,fa,phate,1
Ion care fuck that hoe &#9996;&#65039;,hateful,en,hate_speech_offensive,2
با سلام واحترام,safe,fa,phicad,0
قدم مبارکتون رو چشای تک تک مردم زاهدان 😍 😍 ❤️ ❤️ ❤️ ❤️,safe,fa,phicad,0
RT @USER: دوساعت ماشینمو و شستم اتو کردم. دوتا گربه رو درخت دعوا کردن کوچیکه از ترس اسهالی رید رو ماشینم. گربه رید رو ماشینم. میفه…,sensitive,fa,pars_off,1
اره ما دنبال لخت شدنیم 💔,sensitive,fa,phicad,1
RT @MrHoratioSanz: Vin Scully once called me a camel jockey. #liesaboutvinscully,hateful,en,hate_speech_offensive,2
گی پیایا وقته رویی منی هایایی 😂,hateful,fa,phicad,2
"#IndigenousPeoplesDay .........right. Because these #redskins had a lot of #queens, right? nomg. #sofunny",safe,en,hate_speech_offensive,0
"اون کصکشی که از این بچه ها فیلم گرفت رو باید کشت حرومزاده
با یه فیلم همرو به کشتن دادی مادرجنده",sensitive,fa,phate,1
Hell yeah that bitch gon' go ham,sensitive,en,hate_speech_offensive,1
RT @USER: #فوری متن استعفاي حجت الاسلام ناصر نقویان از دبيري هيأت عالي گزينش كشور @URL,safe,fa,pars_off,0
اجی اتیشی میخام 🔥,sensitive,fa,phicad,1
"اخبار: هیچ خبری نیست..
ولی پلیسا کف خیابونن!
اخبار: هیچ خبری نیست..
ولی نتا یک هفتس که قطعه!
اخبار: هیچ خبری نیست..
ولی موشک میزنن به مردم مظلوم کردستان عراق.
اخبار: هیچ خبری نیست!
ولی #شروین_حاجی_پور دستگیر میشه برای یک اهنگ..
یک سوال واقعا هیچ خبری نیست؟!
#مهسا_امینی",hateful,fa,phate,2
@sassyharryballs ugly white bitch,hateful,en,hate_speech_offensive,2
"RT @useemitch: 1, 2, 3, 4... how many niggers are in my store, I knooooooow your stealing! &#128514;&#128514;&#128514;",hateful,en,hate_speech_offensive,2
تولدت مبارک همیشه شاد سبز باشی ❤️ ❤️,safe,fa,phicad,0
RT @iDntWearCondoms: If u acted like a hoe after we broke up I'm not wrong for thinking u were a hoe all along,safe,en,hate_speech_offensive,0
هم نمیفهمه هم بیسواده,hateful,fa,phicad,2
عفریت مرگ بازجوخبرنگار,hateful,fa,phicad,2
don't be surprised when I'm a bitch to you because you're always a dick towards me,sensitive,en,hate_speech_offensive,1
ااونجاشو بستم بیایید‌ببینید خانما 😍,sensitive,fa,phicad,1
عاشقتم ندا ❤️ 😐,safe,fa,phicad,0
یوقت ورشکست نشید,hateful,fa,phicad,2
گوهه توروحت,hateful,fa,phicad,2
"@Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (well, according to the internet).",hateful,en,hate_speech_offensive,2
دختر سگ اخلاق تا ابد و یک روز کنسله,sensitive,fa,phate,1
پشمک خان یه میو کن,hateful,fa,phicad,2
یا اینکه کجای توییت رو نشونه بگیره که هنوز تیر نخورده و اگه بخوره طرف رو از پا میندازه یا می‌کشه... (که معادلش میشه دی اکتیو دایمی یا موقت کردن، مرگ یا مجروحیت.),safe,fa,pars_off,0
Dez is caked up with some bitch or something cause hes not playing like Dez Bryant,sensitive,en,hate_speech_offensive,1
Next time you leave magic trash in my jacket try not to have your initials written on them. @whatupag http://t.co/tFV1cZtr,safe,en,hate_speech_offensive,0
@atspace your 2. And 3. Nigga them hoes suck wayans brothers are not funny at all Jamie foxx should be number 2,hateful,en,hate_speech_offensive,2
قربوون صداتم عشقیی 🔥 ❤️ ❤️ میخامتت ارمین,safe,fa,phicad,0
با عمامه دارشون میزنیم,hateful,fa,phicad,2
ا ماشاله به خودت ❤️,safe,fa,phicad,0
RT @Rock76_: just show im not playing in this bitch one false move ima spraying in this bitch @1waynostra,sensitive,en,hate_speech_offensive,1
RT @USER: @USER كسكش ميخنده ،مادر خراب,hateful,fa,pars_off,2
جانمان فدای تو 🔥 ❤️,safe,fa,phicad,0
بر پدرو مادرت لعنت هرزه لجن حالم ازت بهم میخوره در اینستاگرامو گل بگیرن که توی اشغال اینجا پیج داری,hateful,fa,phicad,2
 یحیی دلال,hateful,fa,phicad,2
"مهدی ترابی هم تو لیست تیم‌ملیه؟؟؟؟
دیگه قطعا سگ برینه توش
#MahsaAmini 
#OpIran 
#مهسا_امینی",sensitive,fa,phate,1
"کیرم به عمل زیبایی احتیاج داره
آخه احساس میکنم شبیه بهاره رهنما شده",sensitive,fa,phate,1
جذاب و سکسی 🔥 🔥 👏 👏,sensitive,fa,phicad,1
شهوت زیاده میخان رو خاهرت کم کنن 😂,sensitive,fa,phicad,1
omg RT @SaddyBey: Fat bitch. What's her @? http://t.co/ptNszx6nid,hateful,en,hate_speech_offensive,2
"@_GOLDwhippp faggots, old people, people who can't drive, drunk people",hateful,en,hate_speech_offensive,2
"اين پيروزيچي ها واسه يه راي جمع كردن هم ريدن!
تازه با اسم اتحاد و من بريم تو بميري بيا راي بده كلا تو ٢ روز ٧٠٠٠ نفر براي حق پخش راي دادن،
حالا ما براي تغيير هيات مديره تونستيم صدهزارتا راي جمع كنيم",sensitive,fa,phate,1
"I wasn't calling you a faggot, but you are one lol.",hateful,en,hate_speech_offensive,2
لایک مای کامنت,safe,fa,phicad,0
سرتان سلامت بزرگوار کسانی که باید شرم کنن و اهمیت نمیدن کجان؟,hateful,fa,phicad,2
"RT @KMOquality: Scholen waar directie leerkrachten pest, kunt u zich voorstellen hoe groot pestproblematiek onder leerlingen wel moet zijn?&#8230;",safe,en,hate_speech_offensive,0
بلیت فروشی برای بازی #پرسپولیس و السد از ساعت ۹ صبح امروز شروع شد. برای تهیه بلیت به سایت @URL مراجعه کنید._ضمن اینکه، با توجه به استقبال پرشور شما عزیزان، بلیت های جایگاه و روبروی جایگاه در همان لحظات ابتدایی به اتمام رسید.,safe,fa,pars_off,0
Mitt Romney hates big bird. Fascist.,safe,en,hate_speech_offensive,0
👏 👏 گفتم تو درد گاییدن میخوری 😂 😂,sensitive,fa,phicad,1
مردم حتی از مرگ شما بیزارند خفه,hateful,fa,phicad,2
@_angelaaau hey fag i &lt;3 you,hateful,en,hate_speech_offensive,2
کاش ساکت شید بی شرف ها بی شرف ها بی شرف ها,hateful,fa,phicad,2
"بیناموسهایی که اعتراض میکردند چرا فیلم زن #تاجزاده مزدور رو دارید پخش میکنید یه حرف از #یامین_پور از سال ۹۴ پیدا کردن و مثل همیشه کردن علم عثمان...
بابا مردم شماها رو خوب میشناسن بیشترازاین خودتونو لجن مال نکنید 
#بیشرفها https://t.co/w3de2CDela",hateful,fa,phate,2
@wienerherzog Perfect stock photography for an article about not letting a leprechaun-looking handyman get into your liquor cabinet,safe,en,hate_speech_offensive,0
تولدت مبارک انشالا ساله بشی,safe,fa,phicad,0
حرف حرف درستی هست در هر صورت ❤️,safe,fa,phicad,0
@USER این هم مشخصات کسی که به هنرمند کشور توهین میکند و با کمترین اطلاعات درباره همه چیز اظهار نظر. @URL,safe,fa,pars_off,0
A shockingly true tale from the Oreo that almost got devoured. http://t.co/WYIS0LVdsi,safe,en,hate_speech_offensive,0
اسطوره تولدت مبارک ❤️ 🌹,safe,fa,phicad,0
ماشاالله همایون همان همایون هست خدا حفظت کنه استاد اواز ایران ❤️ ❤️ ❤️ ❤️,safe,fa,phicad,0
"آقا پرونده رعنا رحیم پور خیلی وقته بستست اصلا مگه هنوز بی بی سی نگاه می‌کنید 
شما هی داریم میارینش تایم لاین این حرومزاده ها تونستند مارو به حاشیه ببرن
کسی که میگه این جوونا وحشین معلومه تکلیفش چیه خب
ننش جندست تموم شد رفت
#مهسا_امینی 
#تحریم_کنید 
#کص_ننه_رعنا_رحیم_پور",sensitive,fa,phate,1
سواستفاده ابزاری از حیوون فقط اونجایی که سگ میخری تا کُس مخ کنی!,sensitive,fa,pars_off,1
عالی بود سال جدید اینقدر نخندیده بودم,safe,fa,phicad,0
RT @__iamjazz: where is D hoes ? &#128514;,sensitive,en,hate_speech_offensive,1
پس چرا به من ندادین شمارشو 🙄 🙄 من تازگیا فوشای خوبی یاد گرفتم ✌🏻 ✌🏻 ✌🏻,hateful,fa,phicad,2
"#رعنا_رحیم_پور  از ترس  آل سعود  و اینکه بلایی مثل #جمال_خاشقچی سرش نیارن
یا باید دنبال سوراخ موش باشه
یا باید تمنای گونی ایرانی رو داشته باشه...!
.
مواظب دوراهی های مهم زندگیمون باشیم...

#ایران
#گونی
#خاشقجي",sensitive,fa,phate,1
ارتش سالهاست نوچه سپاهه,hateful,fa,phicad,2
RT @USER: تو این آفتاب خر تب میکنه کسکش پختیم از گرما سردش کن بیشعور,sensitive,fa,pars_off,1
رسایی هم دقیقا همینو گفت,hateful,fa,phicad,2
نابغه کشتی هستی,safe,fa,phicad,0
ساقیش حلالخوره,hateful,fa,phicad,2
تا صبحح لجنی تا صبح 💩,hateful,fa,phicad,2
خودتو از چشم همه انداختی ادم کثیفی هسی,hateful,fa,phicad,2
مسته طلای شیرگاه دتا پیک زیادی هدایی وره محسن 😄 😄,sensitive,fa,phicad,1
دیگ لخت شو 😊 😂,sensitive,fa,phicad,1
This is great RT @AmPowerBlog loser &amp; coward @MikePrysner grabbed my iPhone and threw it in the street. He's a pussy. http://t.co/CVUbLNgXKj,sensitive,en,hate_speech_offensive,1
Lil dumb ass bitch I ain't fucking with you,sensitive,en,hate_speech_offensive,1
Nah just yo hoe she just swung matter fact RT @iiAK: @_VinChi3 yu get hoes?!? &#128551;,sensitive,en,hate_speech_offensive,1
What a wetback looks like when he gets caught crossing the border. @Ilovebamf http://t.co/j3Uf1TYubO,hateful,en,hate_speech_offensive,2
"Mary Jane is a dumb bitch
Peter has a job saving the city as Spiderman and she's bitching about how he hasn't came to her play",sensitive,en,hate_speech_offensive,1
"RT @charlie_danger: Beautiful wall color &#128525; ""@_100d: I don't love these bitches and you shouldn't either &#128581; http://t.co/TfoTrkw25v""",sensitive,en,hate_speech_offensive,1
👑 👑 شاه خودتی,safe,fa,phicad,0
واقعا تأسف اوره چی به سر مردم ما اومده که برای تیم ملی کشورشون ارزوی شکست و باخت دارند 😑 😥,hateful,fa,phicad,2
@Mr_Ritchie_J 5 of us decided to drink Everclear and go to a Yankees game.. Only two made it to their seat,safe,en,hate_speech_offensive,0
"""۶/آیا شبکه ملی اطلاعات واقعا پیشرفت ۸۰٪ داشته و یا برخلاف گزارشها و در خوش بینانه ترین حالت زیر۲۰٪در حال گذرانِ روزگار است؟! آیا اولویت رسیدگی به معوقات فلان باشگاه ورزشی-ست و یا مرتفع کردن دغدغه همه-ی عقلای نظام در حوزه ارتباطی کشور؟!_تا چه زمانی""""شوآف"""" بر """"اقدام-ِموثر"""" می-چربد؟!""",sensitive,fa,pars_off,1
نوش جانت ادم فروش,hateful,fa,phicad,2
بوکون توش 🔥,sensitive,fa,phicad,1
روحانی لعنتی,hateful,fa,phicad,2
"RT @Tiqqz: @ShinSnipes i woke up with a sore throat, im cold, niggers will be niggers. so terrible",hateful,en,hate_speech_offensive,2
اخخ شبیه پورن استارایی ایرانی ❤️,sensitive,fa,phicad,1
#رعنا_رحیم_پور کارمند ایت الله بی بی سی نگران تجزیه ایران است. آن بنگاه شایعه پراکنی یکی از عوامل اصلی بدبختی ایران و مهره مهم ۵۷ های تباه است. بی بی سی لانه تجزیه طلبان و ایران ستیزان است. شما هرگز روی خوش به مشروطه خواهان نشان ندادید. شرم بر شما,sensitive,fa,phate,1
مرد دو هزار چهره,hateful,fa,phicad,2
من عاشقت هستم,safe,fa,phicad,0
Can #faggots of #HoneyBooBoo imagine this #internet world was created to trap them and feed them to #Allah like gazelles? #IT #StephenKing,hateful,en,hate_speech_offensive,2
@ScoutingForFifa @TheBurntChip @JoelBurtFifa @JPizzleFIFA EYE WITNESS: Joel is a faggot,hateful,en,hate_speech_offensive,2
